Группа проверок/модуль;Проверка;Приоритет;Выполнение;Комментарии
Создание/Редактирование новости (NW-CE);Нажатие на поле ввода «Время» открывает системный диалог выбора времени;High;Passed;
Создание/Редактирование новости (NW-CE);Блокировка ручного ввода и вставки текста в поле «Время»;Medium;Failed;Это нарушает целостность данных, хотя и удобно для автотестирования.
Создание/Редактирование новости (NW-CE);Валидация текстового поля «Описание»;Medium;Failed;У поля нет ограничения (не выявлены) по количеству символов. Более того при большом количестве переносов (например, на эмуляторе Small Phone 1133 строки) приложение крашится.
Создание/Редактирование новости (NW-CE);Тумблер статуса новости («Активна»/«Не активна») меняет своё состояние;High;Failed;При создании новости тумблер не работает, что нелогично. При редактировании новости, можно менять её статус.
Создание/Редактирование новости (NW-CE);Кнопка «Сохранить» при невалидных данных отображает ошибку;High;Failed;При невалидных данных в «Категории» отображается оштбка: «Сохранение не удалось. Попробуйте позднее». При невалидных данных в полях «Дата публикации» или «Время» (вставка значений) приложение крашится. При переполнении символами текстовых полей «Заголовок» или «Описание» приложение крашится.
Создание/Редактирование новости (NW-CE);Кнопка «Сохранить» при пустых полях отображает ошибку «Заполните пустые поля» и отмечает незаполненные поля;High;Passed;
Создание/Редактирование новости (NW-CE);Кнопка «Сохранить» при валидных данных сохраняет новость и закрывает форму (возврат на предыдущий экран);Critical;Passed;
Создание/Редактирование новости (NW-CE);Сохранение новости с уже прошедшим временем не допускается;High;Failed;Сохраняемая новость не проверяется на уже пройденное время
Создание/Редактирование новости (NW-CE);Кнопка «Отмена» вызывает диалоговое окно подтверждения операции;Medium;Passed;
Создание/Редактирование новости (NW-CE);Нажатие кнопки «Ок» в диалоге подтверждения не сохраняет новость и закрывает форму (возврат на предыдущий экран);High;Passed;
Создание/Редактирование новости (NW-CE);Нажатие кнопки «Отмена» в диалоге подтверждения закрывает окно без выполнения действия;Medium;Passed;
Создание/Редактирование новости (NW-CE);Нажатие системной кнопки «Назад» работает аналогично кнопке «Отмена»: вызывает диалоговое окно подтверждения операции;Medium;Failed;Диалоговое окно не появляется. Сразу происходит отмена операции без подтверждения
Создание/Редактирование новости (NW-CE);Удаление лишних пробелов/переносов по краям строк (Trim) в полях «Заголовок» и «Описание» при создании новости;High;Passed;
Создание/Редактирование новости (NW-CE);Удаление лишних пробелов/переносов по краям строк (Trim) в полях »Заголовок» и »Описание» при редактировании новости;High;Failed;Форматирование не производится.
Создание/Редактирование новости (NW-CE);Удаление лишних пустот внутри текста при сохранении новости;Medium;Failed;В середине текста нет проверки на многократный перенос строки.
;;;;
О приложении (ABOUT);Вертикальный скроллинг экрана «О приложении» при превышении высоты экрана, отсутствие наложения элементов друг на друга;Medium;Failed;В ландшафтном режиме при настройке в системе самого большого шрифта текст копирайта наслаивается на элементы выше.
О приложении (ABOUT);Корректное отображение версии приложения;Low;Passed;
О приложении (ABOUT);Переход по ссылке «Политика конфиденциальности» (открытие браузера);High;Failed;Страница недоступна. Система вернула ошибку DNS_PROBE_FINISHED_NXDOMAIN.
О приложении (ABOUT);Переход по ссылке «Пользовательское соглашение» (открытие браузера);High;Failed;Страница недоступна. Система вернула ошибку DNS_PROBE_FINISHED_NXDOMAIN.
О приложении (ABOUT);Корректность копирайта (текст и год);Low;Passed;
;;;;
Тематические цитаты (QUOTE);Вертикальный скроллинг контента экрана «Цитаты» при превышении высоты экрана;High;Passed;
Тематические цитаты (QUOTE);Раскрытие/свертывание текста цитаты;Medium;Passed;
;;;;
Меню выхода (LOGOUT);Нажатие на пункт «Выйти» – завершение сессии, переход на экран авторизации;Critical;Passed;
;;;;
Конфигурационное тестирование (CONF);Адаптивность верстки под разные экраны и ориентации (отсутствие горизонтального скролла);High;Passed;
Конфигурационное тестирование (CONF);Поведение при сворачивании приложения в фон (приложение остается в памяти / восстанавливается корректно);Medium;Passed;
Конфигурационное тестирование (CONF);Корректное отображение UI в системной тёмной теме (читаемость текста, отсутствие визуальных артефактов);High;Failed;При выборе тёмного режима происходит смешивание стилей: часть контента остаётся в светлой теме, а часть переходит в тёмную тему. Часть контента нечитаема: Toolbar у экрана «Новости» и «Панель управления» (светлые кнопки на светлом), у фильтрации новостей текст «Активна»/«Не активна» (тёмное на тёмном), дата публикации у новостей (светлое на светлом), копирайт на экране «Новости» (тёмное на тёмном).
Конфигурационное тестирование (CONF);Поддержка увеличенного масштаба шрифтов системы, отсутствие наложения элементов друг на друга;High;Failed;На Splash Screen текст наезжает на спинер в ландшафтном режиме. Текст копирайта наезжает на текст выше при ландшафтном режиме и большом шрифте в системе.
Конфигурационное тестирование (CONF);Проверка получения Push-уведомлений на устройстве с оболочкой MIUI;Medium;Passed;
