ID;Название (Title);Описание (Summary);Приоритет (Priority);Предусловия (Preconditions);Шаги (Steps to reproduce);Ожидаемый результат (Expected result);Статус (Status);Автоматизация (Automation);Покрытие (Coverage);Комментарии (Comments)
AUTH-009;Авторизация со спецсимволами в логине и пароле ;;High;Приложение установлено и запущено. Пользователь не авторизован, находится на экране «Авторизация».;"1. Ввести «test!@#$%^&*()» в поле «Логин».
2. Ввести «test!@#$%^&*()» в поле «Пароль».
3. Нажать «Войти».";"1. Введённое значение отображается в поле.
2. Точки, скрывающие пароль отображаются в поле.
3. Вход не происходит. Пользователь остаётся на экране «Авторизация».";;;;
AUTH-010;Обрезка лишних пробелов по краям логина/пароля при входе;;High;Приложение установлено и запущено. Пользователь не авторизован, находится на экране «Авторизация».;"1. Ввести «   login2   » в поле «Логин».
2. Ввести «   password2   » в поле «Пароль».
3. Нажать «Войти».";"1. Введённое значение отображается в поле.
2. Точки, скрывающие пароль отображаются в поле.
3. Открывается экран «Главная».";;;;
AUTH-011;Сохранность сессии после перезапуска приложения;После перезагрузки приложения авторизированный пользователь остаётся в системе;High;Приложение установлено и запущено. Пользователь авторизован, находится на экране «Главная».;"1. Нажать системную кнопку «Назад» до закрытия приложения.
2. Запустить приложение тапом по иконке на рабочем столе.";"1. Отображается рабочий стол девайса.
2. Приложение запускается заново, после Splash Screen открывается экран «Главная».";;;;
APPBAR-001;Открытие Drawer-меню;;High;Приложение установлено и запущено. Пользователь авторизован, находится на экране «Главная».;1. Нажать на Drawer-меню (иконку «Бургер») в AppBar.;1. Открывается выпадающее меню. Внутри присутствуют элементы навигации для всех основных разделов приложения.;;;;
APPBAR-002;Переход на экран «Новости» через Drawer-меню с экрана «Главная»;;Medium ;Приложение установлено и запущено. Пользователь авторизован, находится на экране «Главная».;"1. Нажать на Drawer-меню (иконку «Бургер») в AppBar.
2. Нажать «Новости».";"1. Открывается выпадающее меню.
2. Переход на экран «Новости».";;;;
APPBAR-003;Переход на экран «Новости» через Drawer-меню с экрана «Цитаты»;;Medium ;Приложение установлено и запущено. Пользователь авторизован, находится на экране «Главная».;"1. Нажать на кнопку цитат (иконку бабочки) в AppBar.
2. Нажать «Новости».";"1. Переход на экран «Цитаты».
2. Переход на экран «Новости».";;;;
APPBAR-004;Переход на экран «Новости» через Drawer-меню с экрана «Панель управления»;;Low;Приложение установлено и запущено. Пользователь авторизован, имеет права администратора, находится на экране «Главная».;"1. Нажать на Drawer-меню в AppBar.
2. Нажать «Новотси».
3. Нажать кнопку управления новостями в ToolBar.
4. Нажать на Drawer-меню (иконку «Бургер») в AppBar.
5. Нажать «Новости».";"1. Открывается выпадающее меню.
2. Переход на экран «Новости».
3. Переход на экран «Панель управления» со списком новостей.
4. Открывается выпадающее меню.
2. Переход на экран «Новости».";;;;
APPBAR-005;Переход на экран «Цитаты» с экрана «Главная»;;High;Приложение установлено и запущено. Пользователь авторизован, находится на экране «Главная».;1. Нажать на кнопку цитат (иконку бабочки) в AppBar.;1. Переход на экран «Цитаты», где отображается список тематических цитат.;;;;
APPBAR-006;Открытие меню пользователя с экрана «Главная»;;High;Приложение установлено и запущено. Пользователь авторизован, находится на экране «Главная».;1. Нажать на кнопку пользователя (правый верхний угол) в AppBar.;1. Открывается выпадающее меню. Внутри присутствуют пункт «Выйти».;;;;
MAIN- 001;Обновление экрана «Главная» свайпом вниз;;Critical;"1. Новостей на сегодня и будущую публикацию нет.
2. Создана 1 новость (со статусом «Активна», дата публикации сегодня, время публикации уже наступило, с заголовком «Test_title» и описанием «Test_description»).
3. Приложение установлено и запущено. Пользователь авторизован, находится на экране «Главная».
4. Средствами API или с помощью другого устройства с установленным приложением отредактировать у новости «Test_title» на «Test_title_edited».";1. Сделать свайп вниз по экрану.;1. Отображается спинер. Через некоторое время данные на экране обновляются. Отображается новость с заголовком «Test_title_edited».;;;;
MAIN- 002;Отображение блока «Новости» на экране «Главная»;Проверка наличия виджета списка новостей на экране «Главная»;High;Приложение установлено и запущено. Пользователь авторизован, находится на экране «Главная».;1. Визуально проверить наличие блока новостей.;1. Отображён виджет с кнопкой «Все новости» и списком не более 3 новостей.;;;;
MAIN- 003;Переход на экран «Новости» по кнопке «Все новости» с экрана «Главная»;;High;Приложение установлено и запущено. Пользователь авторизован, находится на экране «Главная».;1. Нажать кнопку «Все новости» на виджете «Новости».;1. Переход на экран «Новости».;;;;
NEWS-001;Отображение новостей на экране «Новости»;;Critical;"Приложение установлено и запущено. Пользователь авторизован, находится на экране «Главная».
Нет новостей на будущую публикацию. Существует как минимум одна активная новость.";"1. Нажать на Drawer-меню в AppBar.
2. Нажать «Новотси».";"1. Открывается выпадающее меню.
2. Переход на экран «Новости», где отображается список как минимум с одной новостью.";;;;
NEWS-002;Обновление экрана «Новости» свайпом вниз;;Critical;"1. Новостей на сегодня и будущую публикацию нет.
2. Создана 1 новость (со статусом «Активна», дата публикации сегодня, время публикации уже наступило, с заголовком «Test_title» и описанием «Test_description»).
3. Приложение установлено и запущено. Пользователь авторизован, находится на экране «Новости».
4. Средствами API или с помощью другого устройства с установленным приложением отредактировать у новости «Test_title» на «Test_title_edited».";1. Сделать свайп вниз по экрану.;1. Отображается спинер. Через некоторое время данные на экране обновляются. Отображается новость с заголовком «Test_title_edited».;;;;
NEWS-003;Вертикальный скроллинг экрана «Новости»;;High;"Приложение установлено и запущено. Пользователь авторизован, находится на экране «Главная».
Создано 8 новостей (все новости со статусом «Активна», время публикации у них уже наступило), новостей на будущую публикацию нет.";"1. Нажать на Drawer-меню в AppBar.
2. Нажать «Новотси».
3. Скроллить экран вниз до 8ой новости.";"1. Открывается выпадающее меню.
2. Переход на экран «Новости».
3. Экран скроллится, все новости отображаются.";;;;
NEWS-004;Подгрузка следующих новостей при прокрутке списка вниз на экране «Новости»;;High;"Приложение установлено и запущено. Пользователь авторизован, находится на экране «Главная».
Создано 16 новостей (все новости со статусом «Активна», время публикации у них уже наступило), новостей на будущую публикацию нет.";"1. Нажать на Drawer-меню в AppBar.
2. Нажать «Новотси».
3. Скроллить экран вниз до 16ой новости.";"1. Открывается выпадающее меню.
2. Переход на экран «Новости».
3. Экран скроллится, все новости отображаются.";Failed;;;
NEWS-005;Отображение заголовка новости на экране «Новости»;;High;"Приложение установлено и запущено. Пользователь авторизован, находится на экране «Главная».
Новостей на сегодня и будущую публикацию нет.
Создана 1 новость (со статусом «Активна», дата публикации сегодня, время публикации уже наступило, с заголовком «Test_title» и описанием «Test_description»).";"1. Нажать на Drawer-меню в AppBar.
2. Нажать «Новотси».";"1. Открывается выпадающее меню.
2. Переход на экран «Новости». В загруженных новостях отображается новость с заголовком «Test_title».";;;;
NEWS-006;Разворачивание описания новости на экране «Новости»;;High;"Приложение установлено и запущено. Пользователь авторизован, находится на экране «Главная».
Новостей на сегодня и будущую публикацию нет.
Создана 1 новость (со статусом «Активна», дата публикации сегодня, время публикации уже наступило, с заголовком «Test_title» и описанием «Test_description»).";"1. Нажать на Drawer-меню в AppBar.
2. Нажать «Новотси».
3. Нажать кнопку вниз (вверху справа) у новости «Test_title».";"1. Открывается выпадающее меню.
2. Переход на экран «Новости» со списком новостей.
3. У новости отображается описание «Test_description».";;;;
NEWS-007;Работа кнопки редактирования в ToolBar на экране «Новости»;;High;Приложение установлено и запущено. Пользователь авторизован, имеет права администратора, находится на экране «Главная».;"1. Нажать на Drawer-меню в AppBar.
2. Нажать «Новотси».
3. Нажать кнопку управления новостями в ToolBar.";"1. Открывается выпадающее меню.
2. Переход на экран «Новости».
3. Переход на экран «Панель управления» со списком новостей.";;;;
NEWS-008;Удалённая новость не отображается на экране «Новости»;;High;"Приложение установлено и запущено. Пользователь авторизован, находится на экране «Главная».
Новостей на сегодня и будущую публикацию нет.
Создана 1 новость (со статусом «Активна», дата публикации сегодня, время публикации уже наступило, с заголовком «Test_title» и описанием «Test_description»).";"1. Нажать на Drawer-меню в AppBar.
2. Нажать «Новотси».
3. Нажать кнопку управления новостями в ToolBar.
4. Нажать кнопку удаления у новости «Test_title».
5. Нажать кнопку «Ок».
6. Нажать на Drawer-меню в AppBar.
7. Нажать «Новотси».";"1. Открывается выпадающее меню.
2. Переход на экран «Новости», в списке есть новость «Test_title».
3. Переход на экран «Панель управления» со списком новостей.
4. Открытие окна подтверждения удаления.
5. Новость успешно удалена из списка.
6. Открывается выпадающее меню.
7. Переход на экран «Новости», в списке нет новости «Test_title».";;;;
NEWS-009;Новость со статусом «Не активна» не отображается на экране «Новости»;;High;"Приложение установлено и запущено. Пользователь авторизован, находится на экране «Главная».
Новостей на сегодня и будущую публикацию нет.
Создана 1 новость (со статусом «Активна», дата публикации сегодня, время публикации уже наступило, с заголовком «Test_title» и описанием «Test_description»).";"1. Нажать на Drawer-меню в AppBar.
2. Нажать «Новотси».
3. Нажать кнопку управления новостями в ToolBar.
4. Нажать кнопку редактирования у новости «Test_title».
5. Сменить статус на «Не активна».
6. Нажать кнопку «Сохранить».
7. Нажать на Drawer-меню в AppBar.
8. Нажать «Новотси».";"1. Открывается выпадающее меню.
2. Переход на экран «Новости», в списке есть новость «Test_title».
3. Переход на экран «Панель управления» со списком новостей.
4. Открывается формы «Редактирование новости».
5. Статус новости сменился.
6. Новость успешно сохранилась.
7. Открывается выпадающее меню.
8. Переход на экран «Новости», в списке нет новости «Test_title».";;;;
NW-FL-001;Открытие выпадающего списка категорий у окна «Фильтровать новости»;;High;Приложение установлено и запущено. Пользователь авторизован, находится на экране «Главная».;"1. Нажать на Drawer-меню в AppBar.
2. Нажать «Новотси».
3. Нажать кнопку фильтрации в ToolBar.
4. Нажать на поле «Категория».";"1. Открывается выпадающее меню.
2. Переход на экран «Новости».
3. Открывается окно «Фильтровать новости».
4. Открывается выпадающий список с доступными категориями для выбора.";;;;
NW-FL-002;Фильтрация новостей по заданному диапазону дат;;High;"Приложение установлено и запущено. Пользователь авторизован, находится на экране «Главная».
Нет новостей на будущую публикацию, сегодняшнюю, вчерашнюю и позавчерашнюю дату.
Созданы 3 новости со статусом «Активна»:
Новость 1 (заголовок «Test_title1», дата публикации сегодня, время уже наступило), Новость 2 (заголовок «Test_title2», дата публикации вчера),  Новость 3 (заголовок «Test_title3», дата публикации позавчера).";"1. Нажать на Drawer-меню в AppBar.
2. Нажать «Новотси».
3. Нажать кнопку фильтрации в ToolBar.
4. В поле первой даты указать вчерашнюю.
5. В поле второй даты указать сегоднешнюю.
6. Нажать кнопку «Фильтровать».";"1. Открывается выпадающее меню.
2. Переход на экран «Новости».
3. Открывается окно «Фильтровать новости».
4. В поле отображается выбранная дата.
5. В поле отображается выбранная дата.
6. Переход на экран «Новости» с отфильтрованным списком новостей. Отображаются новости «Test_title1» и «Test_title2». Новости «Test_title3» в списке нет.";;;;
NW-FL-003;Фильтрация новостей по активности через Панель управления;;High;Приложение установлено и запущено. Пользователь авторизован, имеет права администратора, находится на экране «Главная».;"1. Нажать на Drawer-меню в AppBar.
2. Нажать «Новотси».
3. Нажать кнопку управления новостями в ToolBar.
4. Нажать кнопку фильтрации в ToolBar.";"1. Открывается выпадающее меню.
2. Переход на экран «Новости».
3. Переход на экран «Панель управления» со списком новостей.
4. Открывается окно «Фильтровать новости», где отображается фильтрация по статусу активности.";;;;
NW-FL-004;Работа кнопки «Фильтровать» у окна «Фильтровать новости»;;High;"Приложение установлено и запущено. Пользователь авторизован, находится на экране «Главная».
Новостей на сегодня и будущую публикацию нет.
Создана 1 новость (со статусом «Активна», дата публикации сегодня, время публикации уже наступило, с заголовком «Test_title» и описанием «Test_description»).";"1. Нажать на Drawer-меню в AppBar.
2. Нажать «Новотси».
3. Нажать кнопку фильтрации в ToolBar.
4. Выбрать категорию «Объявление».
5. Нажать кнопку «Фильтровать».";"1. Открывается выпадающее меню.
2. Переход на экран «Новости».
3. Открывается окно «Фильтровать новости».
4. В поле отображается выбранная категория.
5. Переход на экран «Новости», в отфильтрованном списке тображается новость «Test_title».";;;;
NW-FL-005;Фильтрация всех существующих новостей;;High;"Приложение установлено и запущено. Пользователь авторизован, находится на экране «Главная».
Создано 8 новостей (все новости со статусом «Активна», время публикации у них уже наступило).
Создана 1 новость (со статусом «Активна», с датой публикации месяц назад, с заголовком «Test_title»).";"1. Нажать на Drawer-меню в AppBar.
2. Нажать «Новотси».
3. Нажать кнопку фильтрации в ToolBar.
4. В поле первой даты указать 1 число прошлого месяца.
5. В поле второй даты указать последнее число прошлого месяца.
6. Нажать кнопку «Фильтровать».";"1. Открывается выпадающее меню.
2. Переход на экран «Новости».
3. Открывается окно «Фильтровать новости».
4. В поле отображается выбранная дата.
5. В поле отображается выбранная дата.
6. Переход на экран «Новости», в отфильтрованном списке тображается новость «Test_title».";Failed;;;
NW-CP-001;Редактирование новости;;Critical;"Приложение установлено и запущено. Пользователь авторизован, имеет права администратора, находится на экране «Главная».
Существует как минимум одна новость.";"1. Нажать на Drawer-меню в AppBar.
2. Нажать «Новотси».
3. Нажать кнопку управления новостями в ToolBar.
4. Нажать кнопку редактирования у первой новости.
5. Ввести валидное значение в поле «Заголовок».
6. Нажать кнопку «Сохранить».";"1. Открывается выпадающее меню.
2. Переход на экран «Новости».
3. Переход на экран «Панель управления» со списком новостей.
4. Открывается формы «Редактирование новости».
5. Введённое значение отображается в поле.
6. Новость успешно сохранилась, заголовок сменился.";;;;
NW-CP-002;Фактическое удаление новости из списка;;Critical;"Приложение установлено и запущено. Пользователь авторизован, имеет права администратора, находится на экране «Главная».
Существует как минимум одна новость.";"1. Нажать на Drawer-меню в AppBar.
2. Нажать «Новотси».
3. Нажать кнопку управления новостями в ToolBar.
4. Нажать кнопку удаления у первой новости.
5. Нажать кнопку «Ок».";"1. Открывается выпадающее меню.
2. Переход на экран «Новости».
3. Переход на экран «Панель управления» со списком новостей.
4. Открытие окна подтверждения удаления.
5. Новость успешно удалена из списка.";;;;
NW-CP-003;Создание новости;;Critical;"Приложение установлено и запущено. Пользователь авторизован, имеет права администратора, находится на экране «Главная».
Новостей на будущую публикацию нет.";"1. Нажать на Drawer-меню в AppBar.
2. Нажать «Новотси».
3. Нажать кнопку управления новостями в ToolBar.
4. Нажать кнопку создания новости в ToolBar.
5. Выбрать любую категорию новости в поле «Категория».
6. Ввести валидное значение в поле «Заголовок».
7. Выбрать сегоднешнюю дату в поле «Дата публикации».
8. Выбрать время на 5 минут больше настоящего в поле «Время».
9. Ввести валидное значение в поле «Описание».
10. Нажать кнопку «Сохранить».";"1. Открывается выпадающее меню.
2. Переход на экран «Новости».
3. Переход на экран «Панель управления» со списком новостей.
4. Открывается формы «Создание новости».
5. Выбранная категория отображается в поле.
6. Введённое значение отображается в поле.
7. Выбранная дата отображается в поле.
8. Выбранное время отображается в поле.
9. Введённое значение отображается в поле.
10. Новость успешно сохранилась и отображается в списке.";;;;
NW-CP-004;Вертикальный скроллинг экрана «Панель управления»;;High;"Приложение установлено и запущено. Пользователь авторизован, имеет права администратора, находится на экране «Главная».
Создано 8 новостей.";"1. Нажать на Drawer-меню в AppBar.
2. Нажать «Новотси».
3. Нажать кнопку управления новостями в ToolBar.
4. Скроллить экран вниз до 8ой новости.";"1. Открывается выпадающее меню.
2. Переход на экран «Новости».
3. Переход на экран «Панель управления» со списком новостей.
4. Экран скроллится, все новости отображаются.";;;;
NW-CP-005;Подгрузка следующих новостей при прокрутке списка вниз на экране «Панель управления»;;High;"Приложение установлено и запущено. Пользователь авторизован, находится на экране «Главная».
Создано 16 новостей.";"1. Нажать на Drawer-меню в AppBar.
2. Нажать «Новотси».
3. Нажать кнопку управления новостями в ToolBar.
4. Скроллить экран вниз до 16ой новости.";"1. Открывается выпадающее меню.
2. Переход на экран «Новости».
3. Переход на экран «Панель управления» со списком новостей.
4. Экран скроллится, все новости отображаются.";Failed;;;
NW-CP-006;Работа кнопки создания новости в ToolBar на экране «Панель управления»;;High;Приложение установлено и запущено. Пользователь авторизован, имеет права администратора, находится на экране «Главная».;"1. Нажать на Drawer-меню в AppBar.
2. Нажать «Новотси».
3. Нажать кнопку управления новостями в ToolBar.
4. Нажать кнопку создания новости в ToolBar.";"1. Открывается выпадающее меню.
2. Переход на экран «Новости».
3. Переход на экран «Панель управления» со списком новостей.
4. Открывается формы «Создание новости».";;;;
NW-CP-007;Отображение статуса новостей на экране «Панель управления»;;High;Приложение установлено и запущено. Пользователь авторизован, имеет права администратора, находится на экране «Главная».;"1. Нажать на Drawer-меню в AppBar.
2. Нажать «Новотси».
3. Нажать кнопку управления новостями в ToolBar.";"1. Открывается выпадающее меню.
2. Переход на экран «Новости».
3. Переход на экран «Панель управления» со списком новостей. У загруженных новостей отображается статус «Активна»/«Не активна».";;;;
NW-CP-008;Кнопка редактирования открывает форму «Редактирование новости» на экране «Панель управления»;;High;"Приложение установлено и запущено. Пользователь авторизован, имеет права администратора, находится на экране «Главная».
Существует как минимум одна новость.";"1. Нажать на Drawer-меню в AppBar.
2. Нажать «Новотси».
3. Нажать кнопку управления новостями в ToolBar.
4. Нажать кнопку редактирования у первой новости.";"1. Открывается выпадающее меню.
2. Переход на экран «Новости».
3. Переход на экран «Панель управления» со списком новостей.
4. Открывается формы «Редактирование новости».";;;;
NW-CP-009;Разворачивание описания новости на экране «Панель управления»;;High;"Приложение установлено и запущено. Пользователь авторизован, имеет права администратора, находится на экране «Главная».
Новостей на сегодня и будущую публикацию нет.
Создана 1 новость (дата публикации сегодня, с заголовком «Test_title» и описанием «Test_description»).";"1. Нажать на Drawer-меню в AppBar.
2. Нажать «Новотси».
3. Нажать кнопку управления новостями в ToolBar.
4. Нажать кнопку вниз (вверху справа) у новости «Test_title».";"1. Открывается выпадающее меню.
2. Переход на экран «Новости» со списком новостей.
3. Переход на экран «Панель управления» со списком новостей.
4. У новости отображается описание «Test_description».";;;;
NW-CE-001;Выбор прошедшей даты в календаре в форме «Создание новости»;;Critical;Приложение установлено и запущено. Пользователь авторизован, имеет права администратора, находится на экране «Главная».;"1. Нажать на Drawer-меню в AppBar.
2. Нажать «Новотси».
3. Нажать кнопку управления новостями в ToolBar.
4. Нажать кнопку создания новости в ToolBar.
5. Нажать на поле «Дата публикации».";"1. Открывается выпадающее меню.
2. Переход на экран «Новости».
3. Переход на экран «Панель управления» со списком новостей.
4. Открывается формы «Создание новости».
5. Открывается системный календарь, все прошедшие даты неактивны для выбора.";;;;
NW-CE-002;Вертикальный скроллинг формы «Создание новости»;;High;"Приложение установлено и запущено. Пользователь авторизован, имеет права администратора, находится на экране «Главная».
Устройство имеет маленький экран или/и установлен ландшафтный режим экрана. ";"1. Нажать на Drawer-меню в AppBar.
2. Нажать «Новотси».
3. Нажать кнопку управления новостями в ToolBar.
4. Нажать кнопку создания новости в ToolBar.
5. Скроллить экран вниз.";"1. Открывается выпадающее меню.
2. Переход на экран «Новости».
3. Переход на экран «Панель управления» со списком новостей.
4. Открывается формы «Создание новости». 
5. Скроллинг происходит, все элементы отображаются.";;;;
NW-CE-003;Открытие выпадающего списка категорий в форме «Создание новости»;;High;Приложение установлено и запущено. Пользователь авторизован, имеет права администратора, находится на экране «Главная».;"1. Нажать на Drawer-меню в AppBar.
2. Нажать «Новотси».
3. Нажать кнопку управления новостями в ToolBar.
4. Нажать кнопку создания новости в ToolBar.
5. Нажать на поле «Категория».";"1. Открывается выпадающее меню.
2. Переход на экран «Новости».
3. Переход на экран «Панель управления» со списком новостей.
4. Открывается формы «Создание новости». 
5. Открывается выпадающий список с доступными категориями для выбора.";;;;
NW-CE-004;Открывает системного диалога выбора даты в форме «Создание новости»;;High;Приложение установлено и запущено. Пользователь авторизован, имеет права администратора, находится на экране «Главная».;"1. Нажать на Drawer-меню в AppBar.
2. Нажать «Новотси».
3. Нажать кнопку управления новостями в ToolBar.
4. Нажать кнопку создания новости в ToolBar.
5. Нажать на поле «Дата публикации».";"1. Открывается выпадающее меню.
2. Переход на экран «Новости».
3. Переход на экран «Панель управления» со списком новостей.
4. Открывается формы «Создание новости». 
5. Открывается системный календарь.";;;;
NW-CE-005;Открывает системного диалога выбора времени в форме «Создание новости»;;High;Приложение установлено и запущено. Пользователь авторизован, имеет права администратора, находится на экране «Главная».;"1. Нажать на Drawer-меню в AppBar.
2. Нажать «Новотси».
3. Нажать кнопку управления новостями в ToolBar.
4. Нажать кнопку создания новости в ToolBar.
5. Нажать на поле «Время».";"1. Открывается выпадающее меню.
2. Переход на экран «Новости».
3. Переход на экран «Панель управления» со списком новостей.
4. Открывается формы «Создание новости». 
5. Открывается системный диалог выбора времени.";;;;
NW-CE-006;Работа тумблера статуса новости в форме «Создание новости»;;High;Приложение установлено и запущено. Пользователь авторизован, имеет права администратора, находится на экране «Главная».;"1. Нажать на Drawer-меню в AppBar.
2. Нажать «Новотси».
3. Нажать кнопку управления новостями в ToolBar.
4. Нажать кнопку создания новости в ToolBar.
5. Нажать на тумблер статуса новости («Активна»/«Не активна»)";"1. Открывается выпадающее меню.
2. Переход на экран «Новости».
3. Переход на экран «Панель управления» со списком новостей.
4. Открывается формы «Создание новости». 
5. Статус сменяется на «Не активна».";Failed;;;
NW-CE-007;Работа тумблера статуса новости в форме «Редактирование новости»;;High;"Приложение установлено и запущено. Пользователь авторизован, имеет права администратора, находится на экране «Главная».
Существует как минимум одна новость.";"1. Нажать на Drawer-меню в AppBar.
2. Нажать «Новотси».
3. Нажать кнопку управления новостями в ToolBar.
4. Нажать кнопку создания новости в ToolBar.
5. Нажать на тумблер статуса новости («Активна»/«Не активна»)";"1. Открывается выпадающее меню.
2. Переход на экран «Новости».
3. Переход на экран «Панель управления» со списком новостей.
4. Открывается формы «Создание новости». 
5. Статус сменяется на «Не активна».";;;;
NW-CE-008;Создание новости с пустыми данными в форме «Создание новости»;;High;Приложение установлено и запущено. Пользователь авторизован, имеет права администратора, находится на экране «Главная».;"1. Нажать на Drawer-меню в AppBar.
2. Нажать «Новотси».
3. Нажать кнопку управления новостями в ToolBar.
4. Нажать кнопку создания новости в ToolBar.
5. Нажать кнопку «Сохранить».";"1. Открывается выпадающее меню.
2. Переход на экран «Новости».
3. Переход на экран «Панель управления» со списком новостей.
4. Открывается формы «Создание новости». 
5. Отображается ошибка «Заполните пустые поля» и восклицательными знаками отмечены обязательные поля для заполнения.";;;;
NW-CE-009;Создание новости с прошедшим временем в форме «Создание новости»;;High;Приложение установлено и запущено. Пользователь авторизован, имеет права администратора, находится на экране «Главная».;"1. Нажать на Drawer-меню в AppBar.
2. Нажать «Новотси».
3. Нажать кнопку управления новостями в ToolBar.
4. Нажать кнопку создания новости в ToolBar.
5. Выбрать любую категорию новости в поле «Категория».
6. Ввести валидное значение в поле «Заголовок».
7. Выбрать сегоднешнюю дату в поле «Дата публикации».
8. Выбрать уже прошедшее время в поле «Время».
9. Ввести валидное значение в поле «Описание».
10. Нажать кнопку «Сохранить».";"1. Открывается выпадающее меню.
2. Переход на экран «Новости».
3. Переход на экран «Панель управления» со списком новостей.
4. Открывается формы «Создание новости».
5. Выбранная категория отображается в поле.
6. Введённое значение отображается в поле.
7. Выбранная дата отображается в поле.
8. Выбранное время отображается в поле.
9. Введённое значение отображается в поле.
10. Отображается ошибка, что нельзя создавать новость с пршедшим временем.";Failed;;;
